Country,2015,2016,2017,2018,2019
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.203
Albania,4.959,4.655,4.64400005340576,4.586,4.719
Algeria,5.605,6.355,5.87200021743774,5.295,5.211
Angola,4.033,3.866,3.79500007629395,3.795,
Argentina,6.574,6.65,6.59899997711182,6.388,6.086
Armenia,4.35,4.36,4.37599992752075,4.321,4.559
Australia,7.284,7.313,7.28399991989136,7.272,7.228
Austria,7.2,7.119,7.00600004196167,7.139,7.246
Azerbaijan,5.212,5.291,5.23400020599365,5.201,5.208
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456
Belarus,5.813,5.802,5.56899976730347,5.483,5.323
Belgium,6.937,6.929,6.89099979400635,6.927,6.923
Belize,,5.956,5.95599985122681,5.956,
Benin,3.34,3.484,3.65700006484985,4.141,4.883
Bhutan,5.253,5.196,5.01100015640259,5.082,5.082
Bolivia,5.89,5.822,5.82299995422363,5.752,5.779
Bosnia and Herzegovina,4.949,5.163,5.18200016021729,5.129,5.386
Botswana,4.332,3.974,3.76600003242493,3.59,3.488
Brazil,6.983,6.952,6.63500022888184,6.419,6.3
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587
Burundi,2.905,2.905,2.90499997138977,2.905,3.775
Cambodia,3.819,3.907,4.16800022125244,4.433,4.7
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044
Canada,7.427,7.404,7.31599998474121,7.328,7.278
Central African Republic,3.678,,2.69300007820129,3.083,3.083
Chad,3.667,3.763,3.93600010871887,4.301,4.35
Chile,6.67,6.705,6.65199995040894,6.476,6.444
China,5.14,5.245,5.27299976348877,5.246,5.191
Colombia,6.477,6.481,6.35699987411499,6.26,6.125
Comoros,3.956,3.956,,,3.973
Congo (Brazzaville),3.989,4.236,4.29099988937378,4.559,4.812
Congo (Kinshasa),4.517,4.272,4.28000020980835,4.245,4.418
Costa Rica,7.226,7.087,7.0789999961853,7.072,7.167
Croatia,5.759,5.488,5.29300022125244,5.321,5.432
Cyprus,5.689,5.546,5.62099981307983,5.762,6.046
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852
Denmark,7.527,7.526,7.52199983596802,7.555,7.6
Djibouti,4.369,,,,
Dominican Republic,4.885,5.155,5.23000001907349,5.302,5.425
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028
Egypt,4.194,4.362,4.7350001335144,4.419,4.166
El Salvador,6.13,6.068,6.00299978256226,6.167,6.253
Estonia,5.429,5.517,5.61100006103516,5.739,5.893
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.286
Finland,7.406,7.413,7.4689998626709,7.632,7.769
France,6.575,6.478,6.44199991226196,6.489,6.592
Gabon,3.896,4.121,4.46500015258789,4.758,4.799
Gambia,,,,,4.516
Georgia,4.297,4.252,4.28599977493286,4.34,4.519
Germany,6.75,6.994,6.95100021362305,6.965,6.985
